id,name,url,ESG,E,S,G
19878,Land LayBy Listing,https://icomarks.com/ico/Land-LayBy-Listing,0.006 ,0.000 ,0.004 ,0.002 
20365,Echarge,https://icomarks.com/ico/Echarge,0.002 ,0.002 ,0.000 ,0.000 
21541,CarHash,https://icomarks.com/ico/CarHash,0.000 ,0.000 ,0.000 ,0.000 
21779,First Investment Token,https://icomarks.com/ico/First-Investment-Token,0.002 ,0.000 ,0.000 ,0.002 
21958,Advanced Initial Offering,https://icomarks.com/ico/Advanced-Initial-Offering,0.006 ,0.000 ,0.002 ,0.004 
22121,NATA,https://icomarks.com/ico/NATA,0.004 ,0.000 ,0.002 ,0.002 
22133,Magnify Wallet,https://icomarks.com/ico/Magnify-Wallet,0.002 ,0.000 ,0.002 ,0.000 
22422,FinTech Coins,https://icomarks.com/ico/FinTech-Coins,0.004 ,0.000 ,0.002 ,0.002 
22603,GetDoIt,https://icomarks.com/ico/GetDoIt,0.000 ,0.000 ,0.000 ,0.000 
22612,Lesfex Exchange,https://icomarks.com/ico/Lesfex-Exchange,0.000 ,0.000 ,0.000 ,0.000 
22857,weiDex,https://icomarks.com/ico/weiDex,0.002 ,0.000 ,0.002 ,0.000 
22950,HAJJ coin,https://icomarks.com/ico/HAJJ-coin,0.002 ,0.000 ,0.000 ,0.002 
23025,AGRIC,https://icomarks.com/ico/AGRIC,0.006 ,0.002 ,0.002 ,0.002 
23291,Alpha-X,https://icomarks.com/ico/Alpha-X,0.008 ,0.000 ,0.006 ,0.002 
694,ConnectWealth,https://icomarks.com/ico/ConnectWealth,0.004 ,0.000 ,0.004 ,0.000 
12153,MPCX Platform,https://icomarks.com/ico/MPCX-Platform,0.008 ,0.000 ,0.004 ,0.004 
13726,Will Token,https://icomarks.com/ico/Will-Token,0.006 ,0.000 ,0.002 ,0.004 
17859,FruitionToken,https://icomarks.com/ico/FruitionToken,0.010 ,0.002 ,0.004 ,0.004 
1,WINSSHI,https://icomarks.com/ico/WINSSHI,0.000 ,0.000 ,0.000 ,0.000 
