"Country" "Raised" "num" "ESG" "EPI" "CO2_E" "CO2_pc" "E_RNEW" "Env_Taxes_gdp" "WUI" "PolStab" "Voice_Account" "Gov_Effectiveness" "Regulatory_Quality" "Rule_Of_Law" "Control_Of_Corruption" "EODoing_business" "GDPUSD" "GDPpc" "Consumerprice" "Reservas" "Exchande_rate" "Gini_index" "Bank_capital" "non_performing_loans" "Paying_tax"
"Canada" 21282000 6 0 72.18 566001.8 15.05 22.47 1.21 0.2 1.02 1.43 1.72 1.71 1.75 1.76 79.7 1743521.1 46374.15 1.94 85297.07 1.33 0 5.22 0.5 20.5
"Canada" 44620000 72 0.02 71 516873.7 13.6 23.85 1.17 0.24 1.03 1.48 1.64 1.6 1.65 1.59 79.6 1649798.27 43349.68 0.71 90428.07 1.34 0 4.95 0.53 24.5
"Cayman Islands" 77000000 11 0.01 0 0 0 0.01 0 0 1.19 0.49 1.22 0.75 0.77 0.52 0 0 81255.11 0 0 0.83 0 0 0 0
"Cayman Islands" 1220775844 4 0.15 0 0 0 0.01 0 0 1.14 0.46 1.2 0.97 0.77 0.49 0 0 85231.78 0 0 0.83 0 0 0 0
"Cayman Islands" 63337539 14 0 0 0 0 0 0 0 1.43 0.47 1.16 0.98 0.76 0.46 0 0 89846.32 0 0 0.83 0 0 0 0
"Cayman Islands" 0 2 0 0 0 0 0.01 0 0 1.5 0.5 1.12 1.06 0.76 0.47 0 0 83897.51 0 0 0.83 0 0 0 0
"Chile" 0 1 0 77.67 87136.9 4.74 24.1 1.26 0.07 0.42 1 0.84 1.33 1.01 1.03 71.6 276554.14 15045.53 2.18 61497.15 648.5 44.4 8.44 1.92 31.4
"Chile" 0 49 0.02 57.49 86581.3 4.63 25.46 1.34 0.06 0.43 1.02 0.94 1.31 0.97 0.99 72 295411.25 15795.71 2.32 58240.05 642.17 0 8.42 1.87 33
"Chile" 0 2 0 57.49 91915.4 4.83 25.27 0 0.11 0.01 0.98 0.89 1.17 0.95 1.01 72.3 278994.03 14627.15 2.25 53103.3 703.15 0 7.52 2.06 34
"China" 130761005 2 0.01 65.1 10089273.2 7.23 13.14 0.67 0.04 -0.23 -1.5 0.44 -0.16 -0.24 -0.27 64.6 12298675.29 8817.05 1.52 3161814.43 6.76 39.1 8.56 1.74 68.2
"China" 277048845 4 0.05 50.74 10567262 7.53 13.55 0.67 0.02 -0.3 -1.46 0.52 -0.22 -0.17 -0.26 65.2 13882032.46 9905.41 1.93 3094003.12 6.61 38.5 9.07 1.83 66.5
"China" 630000 9 0 50.74 10762824 7.65 14.33 0.65 0.05 -0.26 -1.63 0.56 -0.29 -0.24 -0.29 74 14253945.15 10143.86 2.9 3129894.27 6.91 38.2 9.31 1.86 64
"China" 0 10 0 37.3 10944686.2 7.76 14.81 0.64 0.14 -0.33 -1.65 0.68 -0.19 -0.08 -0.05 77.9 14647683.48 10408.72 2.49 3240735.14 6.9 0 9.24 1.84 59.2
